file,sha256,threads,valid_on_1024_thread_device,VGPRs,Spilled VGPRs,Scratch size,LDS size,Instructions,Code size,Subgroups per SIMD
tierb_64.spv,4b3114c517900ba2c8565094b630f886b76aed3e3d3209a74133d4927885a2c4,4,True,120,0,0,1024,2252,12348,12
tierb_64_c16.spv,2132a81db6d7046c6d9f8ad20aa182c0aaa509b0418ebe740f0866aea89ff5ac,4,True,96,0,0,1024,1232,7012,16
tierb_64_c16p2.spv,340c2abd44447ccf88bcac03f21ab784e8c4d5c19e936623dc6078ed38aa0010,8,True,96,0,0,1024,1209,6884,16
tierb_64_c16p4.spv,ce2d3cd59014fa6f3e6ead422ed8a1259530808ff2ab4363aa8d21d7db73dbdd,16,True,96,0,0,1024,1209,6884,16
tierb_65536.spv,409075f99f5237e6353ce9009a2d77592adc5adbabac6045663bed057c196158,1024,True,96,7415,88320,65536,48156,284304,16
tierb_65536_lds32.spv,3274f6b66b5ca5b43afecab7d67b32d45b3786e5c403f7b58662ffad2b4b3aff,1024,True,96,12787,90368,32768,74744,449984,16
tierb_8192.spv,101e8af7514cd6871019206de0ab71c34934a4a1d7df3009bd8c299b1a543631,512,True,192,0,0,65536,3879,19788,8
tierb_8192_c16.spv,d8df2a2e7f3c24fbef6ff79909e534df85571ddcc2fda51029030802807b6923,512,True,96,0,0,32768,2644,15384,16
tierb_8192_c16p2.spv,327395b7b79d7ba365076cb194c3343f111a28fa6424a00a326ed920870c07a0,1024,True,96,0,0,65536,2650,15364,16
tierb_8192_c16p4.spv,7167bf7a2c370ef994fd7582297dc81d8501fd91465ef515db74cd6e6b04457d,2048,False,,,,,,,
tierb_8192_lds32.spv,b7a4c4f082deb5e96bd9c9f4182b05e66e275e706545181ae7349df9a40a41e0,512,True,192,0,0,32768,4399,22988,8
