symbol,instructions,stack_operands,fma,branches
"ap::N_SSE4::fft8_prod(float const*, float const*, float const*, float const*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long, long) [clone .isra.0]",289,28,0,0
"ap::N_SSE4::fft64_88(hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, hwy::N_SSE4::Vec128<float, 4ul>*, long) [clone .isra.0]",3545,857,0,0
"ap::N_AVX3::fftsr64_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",2451,526,272,0
"ap::N_AVX3::fftsr32_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",1025,157,116,0
"ap::N_AVX3::fftsr16_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",423,25,48,0
"ap::N_AVX3::fftsr64(hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long) [clone .isra.0]",2242,762,144,0
"ap::N_AVX3::fftsr32(hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long) [clone .isra.0]",904,253,52,0
"ap::N_AVX3::fftsr16(hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long) [clone .isra.0]",348,59,16,0
"ap::N_AVX3::fft64_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",2786,262,288,0
"ap::N_AVX3::fft32_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",1296,120,120,0
"ap::N_AVX3::fft16_prod(float const*, float const*, float const*, float const*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, hwy::N_AVX3::Vec512<float>*, long, long) [clone .isra.0]",607,29,52,0
"ap::N_AVX2::fftsr16_prod(float const*, float const*, float const*, float const*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long, long) [clone .isra.0]",479,94,48,0
"ap::N_AVX2::fftsr32(hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long) [clone .isra.0]",1025,399,52,0
"ap::N_AVX2::fftsr16(hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long) [clone .isra.0]",398,126,16,0
"ap::N_AVX2::fft64_prod(float const*, float const*, float const*, float const*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long, long) [clone .isra.0]",3025,570,288,0
"ap::N_AVX2::fft32_prod(float const*, float const*, float const*, float const*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long, long) [clone .isra.0]",1366,229,120,0
"ap::N_AVX2::fft16_prod(float const*, float const*, float const*, float const*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long, long) [clone .isra.0]",633,104,52,0
"ap::N_AVX2::fft64_88(hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, hwy::N_AVX2::Vec256<float>*, long) [clone .isra.0]",2768,781,160,0
"ap::N_AVX3::small_scan(ap::N_AVX3::BP*, unsigned long, float, ap_peak*, unsigned long, int, unsigned long, unsigned long, int) [clone .constprop.0]",281,17,3,35
