# matchedfilter COST table -- RELATIVE cost per configuration
#
# device  Apple M2
# arch    apple  (also used for: apple)
# commit  7e2201b
#
# Measured on a GPU, with the data already resident: host
# transfers are not part of the configuration's cost and
# would swamp the differences between configurations.
#
# U is always 2 and K is unused on this backend -- the kernel
# computes the raw coarse maximum -- so rows sharing
# (n, band, snr) share a measurement. They are emitted
# per (U, K) anyway so the table's key matches the CPU one.
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 8192 1024 2 4 6.00 0.9584 361.6 0.5469
COST 8192 1024 2 8 6.00 0.9584 361.6 0.5469
COST 8192 512 2 4 6.00 0.8834 308.9 0.4919
COST 8192 512 2 8 6.00 0.8834 308.9 0.4919
COST 8192 256 2 4 6.00 0.6978 206.1 0.5533
COST 8192 256 2 8 6.00 0.6978 206.1 0.5533
COST 8192 4096 2 4 6.50 1.0000 393.5 0.9974
COST 8192 4096 2 8 6.50 1.0000 393.5 0.9974
COST 8192 2048 2 4 6.50 0.9882 384.3 0.7853
COST 8192 2048 2 8 6.50 0.9882 384.3 0.7853
COST 8192 1024 2 4 6.50 0.9584 361.6 0.5489
COST 8192 1024 2 8 6.50 0.9584 361.6 0.5489
COST 8192 512 2 4 6.50 0.8834 308.9 0.4825
COST 8192 512 2 8 6.50 0.8834 308.9 0.4825
COST 8192 256 2 4 6.50 0.6978 206.1 0.5018
COST 8192 256 2 8 6.50 0.6978 206.1 0.5018
COST 16384 8192 2 4 5.00 1.0000 787.0 1.0061
COST 16384 8192 2 8 5.00 1.0000 787.0 1.0061
COST 16384 4096 2 4 5.00 0.9882 768.6 0.6376
COST 16384 4096 2 8 5.00 0.9882 768.6 0.6376
COST 16384 2048 2 4 5.00 0.9584 723.3 0.6091
COST 16384 2048 2 8 5.00 0.9584 723.3 0.6091
COST 16384 1024 2 4 5.00 0.8835 617.9 0.7687
COST 16384 1024 2 8 5.00 0.8835 617.9 0.7687
COST 16384 512 2 4 5.00 0.6982 412.5 1.3551
COST 16384 512 2 8 5.00 0.6982 412.5 1.3551
COST 16384 256 2 4 5.00 0.3332 181.6 1.8558
COST 16384 256 2 8 5.00 0.3332 181.6 1.8558
COST 16384 8192 2 4 5.50 1.0000 787.0 0.9939
COST 16384 8192 2 8 5.50 1.0000 787.0 0.9939
COST 16384 4096 2 4 5.50 0.9882 768.6 0.6342
COST 16384 4096 2 8 5.50 0.9882 768.6 0.6342
COST 16384 2048 2 4 5.50 0.9584 723.3 0.5924
COST 16384 2048 2 8 5.50 0.9584 723.3 0.5924
COST 16384 1024 2 4 5.50 0.8835 617.9 0.6081
COST 16384 1024 2 8 5.50 0.8835 617.9 0.6081
COST 16384 512 2 4 5.50 0.6982 412.5 1.0333
COST 16384 512 2 8 5.50 0.6982 412.5 1.0333
COST 16384 256 2 4 5.50 0.3332 181.6 2.0957
COST 16384 256 2 8 5.50 0.3332 181.6 2.0957
COST 16384 8192 2 4 6.00 1.0000 787.0 1.0021
COST 16384 8192 2 8 6.00 1.0000 787.0 1.0021
COST 16384 4096 2 4 6.00 0.9882 768.6 0.6522
COST 16384 4096 2 8 6.00 0.9882 768.6 0.6522
COST 16384 2048 2 4 6.00 0.9584 723.3 0.5998
COST 16384 2048 2 8 6.00 0.9584 723.3 0.5998
COST 16384 1024 2 4 6.00 0.8835 617.9 0.5409
COST 16384 1024 2 8 6.00 0.8835 617.9 0.5409
COST 16384 512 2 4 6.00 0.6982 412.5 0.6635
COST 16384 512 2 8 6.00 0.6982 412.5 0.6635
COST 16384 256 2 4 6.00 0.3332 181.6 2.1232
COST 16384 256 2 8 6.00 0.3332 181.6 2.1232
COST 16384 8192 2 4 6.50 1.0000 787.0 1.0021
COST 16384 8192 2 8 6.50 1.0000 787.0 1.0021
COST 16384 4096 2 4 6.50 0.9882 768.6 0.6474
COST 16384 4096 2 8 6.50 0.9882 768.6 0.6474
COST 16384 2048 2 4 6.50 0.9584 723.3 0.5992
COST 16384 2048 2 8 6.50 0.9584 723.3 0.5992
COST 16384 1024 2 4 6.50 0.8835 617.9 0.5383
COST 16384 1024 2 8 6.50 0.8835 617.9 0.5383
COST 16384 512 2 4 6.50 0.6982 412.5 0.5642
COST 16384 512 2 8 6.50 0.6982 412.5 0.5642
COST 16384 256 2 4 6.50 0.3332 181.6 1.9588
COST 16384 256 2 8 6.50 0.3332 181.6 1.9588
