# matchedfilter COST table -- RELATIVE cost per configuration
#
# device  AMD Radeon 8060S Graphics (RADV GFX1151)
# arch    gfx11  (also used for: gfx1151, gfx11, amd)
# commit  c4510bf
#
# Measured on a GPU, with the data already resident: host
# transfers are not part of the configuration's cost and
# would swamp the differences between configurations.
#
# U is always 2 and K is unused on this backend -- the kernel
# computes the raw coarse maximum -- so rows sharing
# (n, band, snr) share a measurement. They are emitted
# per (U, K) anyway so the table's key matches the CPU one.
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 8192 2048 2 8 6.00 0.9882 384.3 0.6514
COST 8192 1024 2 4 6.00 0.9584 361.6 0.5226
COST 8192 1024 2 8 6.00 0.9584 361.6 0.5226
COST 8192 512 2 4 6.00 0.8834 308.9 0.4826
COST 8192 512 2 8 6.00 0.8834 308.9 0.4826
COST 8192 256 2 4 6.00 0.6978 206.1 0.5188
COST 8192 256 2 8 6.00 0.6978 206.1 0.5188
COST 8192 4096 2 4 6.50 1.0000 393.5 1.0123
COST 8192 4096 2 8 6.50 1.0000 393.5 1.0123
COST 8192 2048 2 4 6.50 0.9882 384.3 0.6425
COST 8192 2048 2 8 6.50 0.9882 384.3 0.6425
COST 8192 1024 2 4 6.50 0.9584 361.6 0.5057
COST 8192 1024 2 8 6.50 0.9584 361.6 0.5057
COST 8192 512 2 4 6.50 0.8834 308.9 0.4688
COST 8192 512 2 8 6.50 0.8834 308.9 0.4688
COST 8192 256 2 4 6.50 0.6978 206.1 0.4596
COST 8192 256 2 8 6.50 0.6978 206.1 0.4596
COST 16384 8192 2 4 5.00 1.0000 787.0 0.9899
COST 16384 8192 2 8 5.00 1.0000 787.0 0.9899
COST 16384 4096 2 4 5.00 0.9882 768.6 0.5434
COST 16384 4096 2 8 5.00 0.9882 768.6 0.5434
COST 16384 2048 2 4 5.00 0.9584 723.3 0.3948
COST 16384 2048 2 8 5.00 0.9584 723.3 0.3948
COST 16384 1024 2 4 5.00 0.8835 617.9 0.4426
COST 16384 1024 2 8 5.00 0.8835 617.9 0.4426
COST 16384 512 2 4 5.00 0.6982 412.5 0.5997
COST 16384 512 2 8 5.00 0.6982 412.5 0.5997
COST 16384 256 2 4 5.00 0.3332 181.6 0.8592
COST 16384 256 2 8 5.00 0.3332 181.6 0.8592
COST 16384 8192 2 4 5.50 1.0000 787.0 1.0740
COST 16384 8192 2 8 5.50 1.0000 787.0 1.0740
COST 16384 4096 2 4 5.50 0.9882 768.6 0.5948
COST 16384 4096 2 8 5.50 0.9882 768.6 0.5948
COST 16384 2048 2 4 5.50 0.9584 723.3 0.4530
COST 16384 2048 2 8 5.50 0.9584 723.3 0.4530
COST 16384 1024 2 4 5.50 0.8835 617.9 0.3737
COST 16384 1024 2 8 5.50 0.8835 617.9 0.3737
COST 16384 512 2 4 5.50 0.6982 412.5 0.5159
COST 16384 512 2 8 5.50 0.6982 412.5 0.5159
COST 16384 256 2 4 5.50 0.3332 181.6 0.9694
COST 16384 256 2 8 5.50 0.3332 181.6 0.9694
COST 16384 8192 2 4 6.00 1.0000 787.0 0.9603
COST 16384 8192 2 8 6.00 1.0000 787.0 0.9603
COST 16384 4096 2 4 6.00 0.9882 768.6 0.5666
COST 16384 4096 2 8 6.00 0.9882 768.6 0.5666
COST 16384 2048 2 4 6.00 0.9584 723.3 0.4330
COST 16384 2048 2 8 6.00 0.9584 723.3 0.4330
COST 16384 1024 2 4 6.00 0.8835 617.9 0.3539
COST 16384 1024 2 8 6.00 0.8835 617.9 0.3539
COST 16384 512 2 4 6.00 0.6982 412.5 0.3714
COST 16384 512 2 8 6.00 0.6982 412.5 0.3714
COST 16384 256 2 4 6.00 0.3332 181.6 0.8936
COST 16384 256 2 8 6.00 0.3332 181.6 0.8936
COST 16384 8192 2 4 6.50 1.0000 787.0 1.0103
COST 16384 8192 2 8 6.50 1.0000 787.0 1.0103
COST 16384 4096 2 4 6.50 0.9882 768.6 0.6012
COST 16384 4096 2 8 6.50 0.9882 768.6 0.6012
COST 16384 2048 2 4 6.50 0.9584 723.3 0.4665
COST 16384 2048 2 8 6.50 0.9584 723.3 0.4665
COST 16384 1024 2 4 6.50 0.8835 617.9 0.3687
COST 16384 1024 2 8 6.50 0.8835 617.9 0.3687
COST 16384 512 2 4 6.50 0.6982 412.5 0.3375
COST 16384 512 2 8 6.50 0.6982 412.5 0.3375
COST 16384 256 2 4 6.50 0.3332 181.6 0.8290
COST 16384 256 2 8 6.50 0.3332 181.6 0.8290
