# matchedfilter COARSE THRESHOLD table -- measured, not modelled.
#
# THR n snr f ratio fd threshold
#
# The threshold the coarse maximum is compared against. Bisected
# directly against measured false dismissal until the rate meets fd,
# so the number stored IS the measurement: nothing derives it and
# nothing corrects it. It replaces hmf_threshold's Rice model plus a
# margin, which were two answers to one question.
#
# ratio = band / B_eff, the samples across the correlation peak. That
# is what scalloping depends on, it is dimensionless, and there is no
# n in it. Real references sit at 1.7 to 5.3; the old grid started at 8.
# 6000 trials a bisection step, 9 steps.
THR 1024 5.50 0.9000 6.000 1e-02 4.7480
THR 1024 5.50 0.9000 8.000 1e-02 4.8512
THR 1024 5.50 0.9000 16.000 1e-02 4.8770
THR 1024 5.50 0.9500 1.200 1e-02 3.7684
THR 1024 5.50 0.9500 1.500 1e-02 3.9746
THR 1024 5.50 0.9500 2.000 1e-02 4.2582
THR 1024 5.50 0.9500 3.000 1e-02 4.7480
THR 1024 5.50 0.9500 4.000 1e-02 4.9414
THR 1024 5.50 0.9500 6.000 1e-02 5.0768
THR 1024 5.50 0.9500 8.000 1e-02 5.1025
THR 1024 5.50 0.9500 16.000 1e-02 5.1090
THR 1024 5.50 0.9800 1.200 1e-02 3.8264
THR 1024 5.50 0.9800 1.500 1e-02 4.0906
THR 1024 5.50 0.9800 2.000 1e-02 4.4193
THR 1024 5.50 0.9800 3.000 1e-02 4.8512
THR 1024 5.50 0.9800 4.000 1e-02 5.0961
THR 1024 5.50 0.9800 6.000 1e-02 5.2637
THR 1024 5.50 0.9800 8.000 1e-02 5.2766
THR 1024 5.50 0.9800 16.000 1e-02 5.2895
THR 1024 5.50 0.9950 1.200 1e-02 3.8715
THR 1024 5.50 0.9950 1.500 1e-02 4.1357
THR 1024 5.50 0.9950 2.000 1e-02 4.4516
THR 1024 5.50 0.9950 3.000 1e-02 4.9350
THR 1024 5.50 0.9950 4.000 1e-02 5.1799
THR 1024 5.50 0.9950 6.000 1e-02 5.3475
THR 1024 5.50 0.9950 8.000 1e-02 5.3861
THR 1024 5.50 0.9950 16.000 1e-02 5.4184
THR 1024 6.00 0.5000 1.200 1e-02 3.1477
THR 1024 6.00 0.5000 1.500 1e-02 3.1688
THR 1024 6.00 0.5000 2.000 1e-02 3.2109
THR 1024 6.00 0.5000 3.000 1e-02 3.2953
THR 1024 6.00 0.5000 4.000 1e-02 3.2883
THR 1024 6.00 0.5000 6.000 1e-02 3.2672
THR 1024 6.00 0.5000 8.000 1e-02 3.2602
THR 1024 6.00 0.5000 16.000 1e-02 3.2672
THR 1024 6.00 0.6000 1.200 1e-02 3.2672
THR 1024 6.00 0.6000 1.500 1e-02 3.3727
THR 1024 6.00 0.6000 2.000 1e-02 3.4711
THR 1024 6.00 0.6000 3.000 1e-02 3.5906
THR 1024 6.00 0.6000 4.000 1e-02 3.5977
THR 1024 6.00 0.6000 6.000 1e-02 3.6609
THR 1024 6.00 0.6000 8.000 1e-02 3.6891
THR 1024 6.00 0.6000 16.000 1e-02 3.7313
THR 1024 6.00 0.7000 1.200 1e-02 3.4359
THR 1024 6.00 0.7000 1.500 1e-02 3.6188
THR 1024 6.00 0.7000 2.000 1e-02 3.7383
THR 1024 6.00 0.7000 3.000 1e-02 3.9703
THR 1024 6.00 0.7000 4.000 1e-02 4.0406
THR 1024 6.00 0.7000 6.000 1e-02 4.1742
