# matchedfilter tuning table
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  bc0cd1e
# trials  20000 per cell (~11571 detections); rates below ~3e-04 are unresolved
#
# Measured by running the real filter against injections and counting the
# peaks the ungated filter reports that it does not. Regenerate with
#   python tools/hmf_tune.py  (see its docstring for what invalidates it)
# FDR rows are a property of the statistic; COST rows are a property of
# this machine and this build, and go stale independently.
#
# WARNING: the COST rows are not usable yet. They were timed on the FDR
# harness, which injects at the threshold so ~half of all pairs trigger
# whatever the band -- so every band reads 9-13 us/pair, where the real
# captures separate band 256 and 1024 by 23 ms/segment against 10. Cost is
# set by how often the gate opens on NOISE at the operating point and needs
# its own pure-noise run.
#
# SCOPE: n=4096 only, decision window = the full transform. A table for
# other transform lengths has to be generated separately.
#
# FDR  n band U K snr f beff dismissal
FDR 4096 1024 2 8 5.50 0.9500 925.4 9.8455e-03
FDR 4096 1024 2 8 5.50 0.9900 20.6 7.9493e-03
FDR 4096 1024 2 8 5.50 0.9900 100.6 2.9189e-03
FDR 4096 1024 2 8 5.50 0.9900 303.8 5.0954e-03
FDR 4096 1024 2 8 5.50 0.9900 611.4 2.4004e-02
FDR 4096 1024 2 8 5.50 0.9900 925.4 4.3974e-02
FDR 4096 1024 2 8 6.00 0.8000 20.6 5.9112e-04
FDR 4096 1024 2 8 6.00 0.8000 100.6 6.2769e-04
FDR 4096 1024 2 8 6.00 0.8000 303.8 7.3889e-04
FDR 4096 1024 2 8 6.00 0.8000 611.4 1.2982e-03
FDR 4096 1024 2 8 6.00 0.8000 925.4 2.2237e-03
FDR 4096 1024 2 8 6.00 0.9000 20.6 5.6634e-04
FDR 4096 1024 2 8 6.00 0.9000 100.6 3.4783e-04
FDR 4096 1024 2 8 6.00 0.9000 303.8 6.3660e-04
FDR 4096 1024 2 8 6.00 0.9000 611.4 1.9224e-03
FDR 4096 1024 2 8 6.00 0.9000 925.4 4.4105e-03
FDR 4096 1024 2 8 6.00 0.9500 20.6 2.3863e-04
FDR 4096 1024 2 8 6.00 0.9500 100.6 5.9580e-04
FDR 4096 1024 2 8 6.00 0.9500 303.8 8.0407e-04
FDR 4096 1024 2 8 6.00 0.9500 611.4 4.6171e-03
FDR 4096 1024 2 8 6.00 0.9500 925.4 1.3522e-02
FDR 4096 1024 2 8 6.00 0.9900 20.6 5.4685e-03
FDR 4096 1024 2 8 6.00 0.9900 100.6 2.3737e-03
FDR 4096 1024 2 8 6.00 0.9900 303.8 5.7008e-03
FDR 4096 1024 2 8 6.00 0.9900 611.4 2.7698e-02
FDR 4096 1024 2 8 6.00 0.9900 925.4 5.0951e-02
FDR 4096 2048 2 4 5.00 0.8000 40.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.8000 208.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.8000 607.1 0.0000e+00
FDR 4096 2048 2 4 5.00 0.8000 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.00 0.8000 1850.9 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9000 40.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9000 208.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9000 607.1 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9000 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9000 1850.9 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9500 40.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9500 208.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9500 607.1 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9500 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9500 1850.9 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9900 40.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9900 208.6 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9900 607.1 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9900 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.00 0.9900 1850.9 0.0000e+00
FDR 4096 2048 2 4 5.50 0.8000 40.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.8000 208.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.8000 607.1 0.0000e+00
FDR 4096 2048 2 4 5.50 0.8000 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.50 0.8000 1850.9 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9000 40.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9000 208.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9000 607.1 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9000 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9000 1850.9 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9500 40.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9500 208.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9500 607.1 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9500 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9500 1850.9 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9900 40.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9900 208.6 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9900 607.1 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9900 1222.5 0.0000e+00
FDR 4096 2048 2 4 5.50 0.9900 1850.9 0.0000e+00
FDR 4096 2048 2 4 6.00 0.8000 40.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.8000 208.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.8000 607.1 0.0000e+00
FDR 4096 2048 2 4 6.00 0.8000 1222.5 9.2868e-05
FDR 4096 2048 2 4 6.00 0.8000 1850.9 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9000 40.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9000 208.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9000 607.1 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9000 1222.5 9.2868e-05
FDR 4096 2048 2 4 6.00 0.9000 1850.9 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9500 40.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9500 208.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9500 607.1 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9500 1222.5 9.2868e-05
FDR 4096 2048 2 4 6.00 0.9500 1850.9 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9900 40.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9900 208.6 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9900 607.1 0.0000e+00
FDR 4096 2048 2 4 6.00 0.9900 1222.5 9.2868e-05
FDR 4096 2048 2 4 6.00 0.9900 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.00 0.8000 40.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.8000 208.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.8000 607.1 0.0000e+00
FDR 4096 2048 2 8 5.00 0.8000 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.00 0.8000 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9000 40.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9000 208.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9000 607.1 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9000 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9000 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9500 40.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9500 208.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9500 607.1 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9500 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9500 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9900 40.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9900 208.6 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9900 607.1 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9900 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.00 0.9900 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.50 0.8000 40.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.8000 208.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.8000 607.1 0.0000e+00
FDR 4096 2048 2 8 5.50 0.8000 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.50 0.8000 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9000 40.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9000 208.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9000 607.1 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9000 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9000 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9500 40.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9500 208.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9500 607.1 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9500 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9500 1850.9 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9900 40.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9900 208.6 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9900 607.1 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9900 1222.5 0.0000e+00
FDR 4096 2048 2 8 5.50 0.9900 1850.9 0.0000e+00
FDR 4096 2048 2 8 6.00 0.8000 40.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.8000 208.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.8000 607.1 0.0000e+00
FDR 4096 2048 2 8 6.00 0.8000 1222.5 9.2868e-05
FDR 4096 2048 2 8 6.00 0.8000 1850.9 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9000 40.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9000 208.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9000 607.1 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9000 1222.5 9.2868e-05
FDR 4096 2048 2 8 6.00 0.9000 1850.9 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9500 40.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9500 208.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9500 607.1 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9500 1222.5 9.2868e-05
FDR 4096 2048 2 8 6.00 0.9500 1850.9 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9900 40.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9900 208.6 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9900 607.1 0.0000e+00
FDR 4096 2048 2 8 6.00 0.9900 1222.5 9.2868e-05
FDR 4096 2048 2 8 6.00 0.9900 1850.9 0.0000e+00
# COST n band U K us_per_pair
COST 4096 256 2 4 9.8484
COST 4096 256 2 8 9.0229
COST 4096 512 2 4 10.6343
COST 4096 512 2 8 9.9359
COST 4096 1024 2 4 12.7311
COST 4096 1024 2 8 11.4679
COST 4096 2048 2 4 11.2028
COST 4096 2048 2 8 11.1216
