# matchedfilter COST table -- RELATIVE cost per configuration, measured
#
# cpu     AMD RYZEN AI MAX+ 395 w/ Radeon 8060S
# commit  398fa6f
#
# Cost RELATIVE to a pivot configuration at the same transform length, not
# microseconds. Absolute time is a property of machine, load and reference
# together; the ratio is a property of the configuration, which is the only
# thing selection needs.
#
# Measured by holding ONE reference fixed and timing every configuration on
# it, cycling rather than running each to completion, and dividing by a pivot
# measured in the same loop. Clock and turbo state, contention, cache
# temperature and the machine cancel in the ratio -- which is also what makes
# it safe to measure these in parallel on every core.
#
# Ranks configurations; do not read them as predictions of runtime.
#
# Regenerate for your own CPU:
#   python tools/hmf_tune.py --retune-cost --out mycost.txt
#   export MF_COST=$PWD/mycost.txt
#
# Baseline measurements retained during gate-model migration; see docs/gate-model.md.
# COST n band U K snr f beff relative_cost
COST 1024 512 2 8 5.00 1.0000 50.6 1.0000
COST 1024 512 2 8 5.00 1.0000 114.0 1.0000
COST 1024 512 2 8 5.00 1.0000 140.8 1.0000
COST 1024 512 2 8 5.00 1.0000 205.5 1.0000
COST 1024 512 2 8 5.50 1.0000 28.4 1.0000
COST 1024 512 2 8 5.50 1.0000 35.3 1.0000
COST 1024 512 2 8 5.50 1.0000 50.6 1.0000
COST 1024 512 2 8 5.50 1.0000 114.0 1.0000
COST 1024 512 2 8 5.50 1.0000 140.8 1.0000
COST 1024 512 2 8 5.50 1.0000 205.5 1.0000
COST 1024 512 2 8 5.75 1.0000 28.4 1.0000
COST 1024 512 2 8 5.75 1.0000 35.3 1.0000
COST 1024 512 2 8 5.75 1.0000 50.6 1.0000
COST 1024 512 2 8 5.75 1.0000 114.0 1.0000
COST 1024 512 2 8 5.75 1.0000 140.8 1.0000
COST 1024 512 2 8 5.75 1.0000 205.5 1.0000
COST 1024 512 2 8 6.00 1.0000 28.4 1.0000
COST 1024 512 2 8 6.00 1.0000 35.3 1.0000
COST 1024 512 2 8 6.00 1.0000 50.6 1.0000
COST 1024 512 2 8 6.00 1.0000 114.0 1.0000
COST 1024 512 2 8 6.00 1.0000 140.8 1.0000
COST 1024 512 2 8 6.00 1.0000 205.5 1.0000
COST 1024 512 2 8 6.50 1.0000 28.4 1.0000
COST 1024 512 2 8 6.50 1.0000 35.3 1.0000
COST 1024 512 2 8 6.50 1.0000 50.6 1.0000
COST 1024 512 2 8 6.50 1.0000 114.0 1.0000
COST 1024 512 2 8 6.50 1.0000 140.8 1.0000
COST 1024 512 2 8 6.50 1.0000 205.5 1.0000
COST 2048 256 2 4 5.00 0.7130 228.0 1.4448
COST 2048 256 2 4 5.00 0.7830 175.6 1.0705
COST 2048 256 2 4 5.00 0.8500 25.6 0.6199
COST 2048 256 2 4 5.00 0.8500 50.6 0.6380
COST 2048 256 2 4 5.00 0.8500 103.0 1.8483
COST 2048 256 2 4 5.00 0.8750 175.6 1.7846
COST 2048 256 2 4 5.00 0.9500 25.6 0.3697
COST 2048 256 2 4 5.00 0.9500 50.6 0.5326
COST 2048 256 2 4 5.00 0.9500 103.0 1.1671
COST 2048 256 2 4 5.00 0.9940 99.4 0.5887
COST 2048 256 2 4 5.50 0.7130 228.0 2.4947
COST 2048 256 2 4 5.50 0.7830 175.6 3.0703
COST 2048 256 2 4 5.50 0.8500 25.6 0.5228
COST 2048 256 2 4 5.50 0.8500 50.6 0.4796
COST 2048 256 2 4 5.50 0.8500 103.0 1.1859
COST 2048 256 2 4 5.50 0.8750 175.6 1.9018
COST 2048 256 2 4 5.50 0.9500 25.6 0.5390
COST 2048 256 2 4 5.50 0.9500 50.6 0.5658
COST 2048 256 2 4 5.50 0.9500 103.0 1.0820
COST 2048 256 2 4 5.50 0.9940 99.4 0.5124
COST 2048 256 2 4 5.75 0.7130 228.0 2.5035
COST 2048 256 2 4 5.75 0.7830 175.6 1.0248
COST 2048 256 2 4 5.75 0.8500 25.6 0.3544
COST 2048 256 2 4 5.75 0.8500 50.6 0.3970
COST 2048 256 2 4 5.75 0.8500 103.0 0.5544
COST 2048 256 2 4 5.75 0.8750 175.6 1.1246
COST 2048 256 2 4 5.75 0.9500 25.6 0.3021
COST 2048 256 2 4 5.75 0.9500 50.6 0.1663
COST 2048 256 2 4 5.75 0.9500 103.0 0.2192
COST 2048 256 2 4 5.75 0.9940 99.4 0.3447
COST 2048 256 2 4 6.00 0.7130 228.0 1.8968
COST 2048 256 2 4 6.00 0.7830 175.6 2.1169
COST 2048 256 2 4 6.00 0.8500 25.6 0.4517
COST 2048 256 2 4 6.00 0.8500 50.6 0.4925
COST 2048 256 2 4 6.00 0.8500 103.0 0.7128
COST 2048 256 2 4 6.00 0.8750 175.6 2.1522
COST 2048 256 2 4 6.00 0.9500 25.6 0.4088
COST 2048 256 2 4 6.00 0.9500 50.6 0.3733
COST 2048 256 2 4 6.00 0.9500 103.0 0.5913
COST 2048 256 2 4 6.00 0.9940 99.4 0.3287
COST 2048 256 2 4 6.50 0.7130 228.0 1.8045
COST 2048 256 2 4 6.50 0.7830 175.6 2.6318
COST 2048 256 2 4 6.50 0.8500 25.6 0.4021
COST 2048 256 2 4 6.50 0.8500 50.6 0.3746
COST 2048 256 2 4 6.50 0.8500 103.0 0.4932
COST 2048 256 2 4 6.50 0.8750 175.6 0.9517
COST 2048 256 2 4 6.50 0.9500 25.6 0.4535
COST 2048 256 2 4 6.50 0.9500 50.6 0.4317
COST 2048 256 2 4 6.50 0.9500 103.0 0.3903
COST 2048 256 2 4 6.50 0.9940 99.4 0.3740
COST 2048 256 2 8 5.00 0.7130 228.0 1.9180
COST 2048 256 2 8 5.00 0.7830 175.6 0.8529
COST 2048 256 2 8 5.00 0.8500 25.6 0.6149
COST 2048 256 2 8 5.00 0.8500 50.6 0.6776
COST 2048 256 2 8 5.00 0.8500 103.0 1.1366
COST 2048 256 2 8 5.00 0.8750 175.6 0.8843
COST 2048 256 2 8 5.00 0.9500 25.6 0.4292
COST 2048 256 2 8 5.00 0.9500 50.6 0.4389
COST 2048 256 2 8 5.00 0.9500 103.0 0.5670
COST 2048 256 2 8 5.00 0.9940 99.4 0.3471
COST 2048 256 2 8 5.50 0.7130 228.0 1.6544
COST 2048 256 2 8 5.50 0.7830 175.6 0.8821
COST 2048 256 2 8 5.50 0.8500 25.6 0.5008
COST 2048 256 2 8 5.50 0.8500 50.6 0.5807
COST 2048 256 2 8 5.50 0.8500 103.0 0.6666
COST 2048 256 2 8 5.50 0.8750 175.6 0.6258
COST 2048 256 2 8 5.50 0.9500 25.6 0.6146
COST 2048 256 2 8 5.50 0.9500 50.6 0.5536
COST 2048 256 2 8 5.50 0.9500 103.0 0.6480
COST 2048 256 2 8 5.50 0.9940 99.4 0.4986
COST 2048 256 2 8 5.75 0.7130 228.0 1.9041
COST 2048 256 2 8 5.75 0.7830 175.6 0.8300
COST 2048 256 2 8 5.75 0.8500 25.6 0.3533
COST 2048 256 2 8 5.75 0.8500 50.6 0.3885
COST 2048 256 2 8 5.75 0.8500 103.0 0.3181
COST 2048 256 2 8 5.75 0.8750 175.6 0.5455
COST 2048 256 2 8 5.75 0.9500 25.6 0.3143
COST 2048 256 2 8 5.75 0.9500 50.6 0.1666
COST 2048 256 2 8 5.75 0.9500 103.0 0.1709
COST 2048 256 2 8 5.75 0.9940 99.4 0.3116
COST 2048 256 2 8 6.00 0.7130 228.0 2.3522
COST 2048 256 2 8 6.00 0.7830 175.6 1.2902
COST 2048 256 2 8 6.00 0.8500 25.6 0.5473
COST 2048 256 2 8 6.00 0.8500 50.6 0.3992
