# matchedfilter GPU COST table -- budget-aware relative costs
# format cost-fd-pairs-v1
# device  AMD Radeon 8060S Graphics (RADV GFX1151)
# commit  b25d6a8
# Profiles: [-2.3333333333333335, -2.0, 'pycbc']; batch shapes: [(16, 256), (16, 1024)]
# Costs are warm public-API ratios to the widest band at the same batch shape.
# Accuracy is independent and uses the profile gate.
# U=2; taps K are metadata on this GPU, so K=4 and K=8 share costs.
# COST n band U K snr fd pairs f beff relative_cost
COST 1024 512 2 8 5.50 0.001 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 5.50 0.01 16384 0.972159 61.071 0.729466
COST 1024 256 2 8 5.50 0.01 16384 0.972159 61.071 0.729466
COST 1024 512 2 4 5.50 0.01 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 5.50 0.01 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 5.50 0.01 4096 0.972159 61.071 0.856944
COST 1024 256 2 8 5.50 0.01 4096 0.972159 61.071 0.856944
COST 1024 512 2 4 5.50 0.01 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 5.50 0.01 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 5.50 0.01 16384 0.988151 48.031 0.726915
COST 1024 256 2 8 5.50 0.01 16384 0.988151 48.031 0.726915
COST 1024 512 2 4 5.50 0.01 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 5.50 0.01 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 5.50 0.01 4096 0.988151 48.031 0.879241
COST 1024 256 2 8 5.50 0.01 4096 0.988151 48.031 0.879241
COST 1024 512 2 4 5.50 0.01 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 5.50 0.01 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 6.00 0.0001 16384 0.972159 61.071 0.757770
COST 1024 256 2 8 6.00 0.0001 16384 0.972159 61.071 0.757770
COST 1024 512 2 4 6.00 0.0001 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 6.00 0.0001 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 6.00 0.0001 4096 0.972159 61.071 0.849366
COST 1024 256 2 8 6.00 0.0001 4096 0.972159 61.071 0.849366
COST 1024 512 2 4 6.00 0.0001 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 6.00 0.0001 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 6.00 0.0001 16384 0.988151 48.031 0.737669
COST 1024 256 2 8 6.00 0.0001 16384 0.988151 48.031 0.737669
COST 1024 512 2 4 6.00 0.0001 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 6.00 0.0001 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 6.00 0.0001 4096 0.988151 48.031 0.805189
COST 1024 256 2 8 6.00 0.0001 4096 0.988151 48.031 0.805189
COST 1024 512 2 4 6.00 0.0001 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 6.00 0.0001 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 6.00 0.001 16384 0.972159 61.071 0.752443
COST 1024 256 2 8 6.00 0.001 16384 0.972159 61.071 0.752443
COST 1024 512 2 4 6.00 0.001 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 6.00 0.001 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 6.00 0.001 4096 0.972159 61.071 0.979299
COST 1024 256 2 8 6.00 0.001 4096 0.972159 61.071 0.979299
COST 1024 512 2 4 6.00 0.001 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 6.00 0.001 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 6.00 0.001 16384 0.988151 48.031 0.753223
COST 1024 256 2 8 6.00 0.001 16384 0.988151 48.031 0.753223
COST 1024 512 2 4 6.00 0.001 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 6.00 0.001 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 6.00 0.001 4096 0.988151 48.031 0.860840
COST 1024 256 2 8 6.00 0.001 4096 0.988151 48.031 0.860840
COST 1024 512 2 4 6.00 0.001 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 6.00 0.001 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 6.00 0.01 16384 0.972159 61.071 0.734963
COST 1024 256 2 8 6.00 0.01 16384 0.972159 61.071 0.734963
COST 1024 512 2 4 6.00 0.01 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 6.00 0.01 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 6.00 0.01 4096 0.972159 61.071 0.805242
COST 1024 256 2 8 6.00 0.01 4096 0.972159 61.071 0.805242
COST 1024 512 2 4 6.00 0.01 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 6.00 0.01 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 6.00 0.01 16384 0.988151 48.031 0.758354
COST 1024 256 2 8 6.00 0.01 16384 0.988151 48.031 0.758354
COST 1024 512 2 4 6.00 0.01 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 6.00 0.01 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 6.00 0.01 4096 0.988151 48.031 0.918088
COST 1024 256 2 8 6.00 0.01 4096 0.988151 48.031 0.918088
COST 1024 512 2 4 6.00 0.01 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 6.00 0.01 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 6.50 0.0001 16384 0.972159 61.071 0.760468
COST 1024 256 2 8 6.50 0.0001 16384 0.972159 61.071 0.760468
COST 1024 512 2 4 6.50 0.0001 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 6.50 0.0001 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 6.50 0.0001 4096 0.972159 61.071 0.921268
COST 1024 256 2 8 6.50 0.0001 4096 0.972159 61.071 0.921268
COST 1024 512 2 4 6.50 0.0001 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 6.50 0.0001 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 6.50 0.0001 16384 0.988151 48.031 0.769424
COST 1024 256 2 8 6.50 0.0001 16384 0.988151 48.031 0.769424
COST 1024 512 2 4 6.50 0.0001 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 6.50 0.0001 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 6.50 0.0001 4096 0.988151 48.031 0.852879
COST 1024 256 2 8 6.50 0.0001 4096 0.988151 48.031 0.852879
COST 1024 512 2 4 6.50 0.0001 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 6.50 0.0001 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 6.50 0.001 16384 0.972159 61.071 0.780574
COST 1024 256 2 8 6.50 0.001 16384 0.972159 61.071 0.780574
COST 1024 512 2 4 6.50 0.001 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 6.50 0.001 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 6.50 0.001 4096 0.972159 61.071 0.918643
COST 1024 256 2 8 6.50 0.001 4096 0.972159 61.071 0.918643
COST 1024 512 2 4 6.50 0.001 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 6.50 0.001 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 6.50 0.001 16384 0.988151 48.031 0.746904
COST 1024 256 2 8 6.50 0.001 16384 0.988151 48.031 0.746904
COST 1024 512 2 4 6.50 0.001 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 6.50 0.001 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 6.50 0.001 4096 0.988151 48.031 0.929275
COST 1024 256 2 8 6.50 0.001 4096 0.988151 48.031 0.929275
COST 1024 512 2 4 6.50 0.001 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 6.50 0.001 4096 1.000000 49.188 1.000000
COST 1024 256 2 4 6.50 0.01 16384 0.972159 61.071 0.708108
COST 1024 256 2 8 6.50 0.01 16384 0.972159 61.071 0.708108
COST 1024 512 2 4 6.50 0.01 16384 1.000000 64.605 1.000000
COST 1024 512 2 8 6.50 0.01 16384 1.000000 64.605 1.000000
COST 1024 256 2 4 6.50 0.01 4096 0.972159 61.071 0.955169
COST 1024 256 2 8 6.50 0.01 4096 0.972159 61.071 0.955169
COST 1024 512 2 4 6.50 0.01 4096 1.000000 64.605 1.000000
COST 1024 512 2 8 6.50 0.01 4096 1.000000 64.605 1.000000
COST 1024 256 2 4 6.50 0.01 16384 0.988151 48.031 0.732066
COST 1024 256 2 8 6.50 0.01 16384 0.988151 48.031 0.732066
COST 1024 512 2 4 6.50 0.01 16384 1.000000 49.188 1.000000
COST 1024 512 2 8 6.50 0.01 16384 1.000000 49.188 1.000000
COST 1024 256 2 4 6.50 0.01 4096 0.988151 48.031 0.918831
COST 1024 256 2 8 6.50 0.01 4096 0.988151 48.031 0.918831
COST 1024 512 2 4 6.50 0.01 4096 1.000000 49.188 1.000000
COST 1024 512 2 8 6.50 0.01 4096 1.000000 49.188 1.000000
COST 16384 256 2 4 5.00 0.0001 16384 0.243860 167.954 1.582749
COST 16384 256 2 8 5.00 0.0001 16384 0.243860 167.954 1.582749
COST 16384 512 2 4 5.00 0.0001 16384 0.587781 409.249 1.575541
COST 16384 512 2 8 5.00 0.0001 16384 0.587781 409.249 1.575541
COST 16384 1024 2 4 5.00 0.0001 16384 0.805726 682.375 1.531865
COST 16384 1024 2 8 5.00 0.0001 16384 0.805726 682.375 1.531865
COST 16384 2048 2 4 5.00 0.0001 16384 0.916701 870.462 1.584123
COST 16384 2048 2 8 5.00 0.0001 16384 0.916701 870.462 1.584123
COST 16384 4096 2 4 5.00 0.0001 16384 0.972236 977.344 1.482624
COST 16384 4096 2 8 5.00 0.0001 16384 0.972236 977.344 1.482624
COST 16384 8192 2 4 5.00 0.0001 16384 1.000000 1033.727 1.000000
COST 16384 8192 2 8 5.00 0.0001 16384 1.000000 1033.727 1.000000
COST 16384 256 2 4 5.00 0.0001 4096 0.243860 167.954 1.133498
COST 16384 256 2 8 5.00 0.0001 4096 0.243860 167.954 1.133498
COST 16384 512 2 4 5.00 0.0001 4096 0.587781 409.249 1.205377
COST 16384 512 2 8 5.00 0.0001 4096 0.587781 409.249 1.205377
COST 16384 1024 2 4 5.00 0.0001 4096 0.805726 682.375 1.171043
COST 16384 1024 2 8 5.00 0.0001 4096 0.805726 682.375 1.171043
COST 16384 2048 2 4 5.00 0.0001 4096 0.916701 870.462 1.215151
COST 16384 2048 2 8 5.00 0.0001 4096 0.916701 870.462 1.215151
COST 16384 4096 2 4 5.00 0.0001 4096 0.972236 977.344 1.197886
COST 16384 4096 2 8 5.00 0.0001 4096 0.972236 977.344 1.197886
COST 16384 8192 2 4 5.00 0.0001 4096 1.000000 1033.727 1.000000
COST 16384 8192 2 8 5.00 0.0001 4096 1.000000 1033.727 1.000000
COST 16384 256 2 4 5.00 0.0001 16384 0.333179 181.648 2.890706
COST 16384 256 2 8 5.00 0.0001 16384 0.333179 181.648 2.890706
COST 16384 512 2 4 5.00 0.0001 16384 0.698196 412.464 2.891018
COST 16384 512 2 8 5.00 0.0001 16384 0.698196 412.464 2.891018
COST 16384 1024 2 4 5.00 0.0001 16384 0.883490 617.877 2.870630
