# ACC2 rows for n=4096, measured with NO oversample.
# band measured at 1024; band is not in the key.
# 24000 trials a cell.
ACC2 4096 4 5.00 0.9500 16.12 1.000 8.0336e-04
ACC2 4096 4 5.00 0.9500 32.61 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9500 32.61 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9500 32.61 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9500 32.61 0.980 0.0000e+00
ACC2 4096 4 5.00 0.9500 32.61 1.000 1.9179e-04
ACC2 4096 4 5.00 0.9500 64.60 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9500 64.60 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9500 64.60 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9500 64.60 0.980 1.3179e-04
ACC2 4096 4 5.00 0.9500 64.60 1.000 3.2947e-04
ACC2 4096 4 5.00 0.9500 128.59 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9500 128.59 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9500 128.59 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9500 128.59 0.980 0.0000e+00
ACC2 4096 4 5.00 0.9500 128.59 1.000 0.0000e+00
ACC2 4096 4 5.00 0.9800 2.03 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9800 2.03 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9800 2.03 0.960 5.9449e-05
ACC2 4096 4 5.00 0.9800 2.03 0.980 1.7240e-03
ACC2 4096 4 5.00 0.9800 2.03 1.000 1.9440e-02
ACC2 4096 4 5.00 0.9800 3.94 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9800 3.94 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9800 3.94 0.960 6.0979e-05
ACC2 4096 4 5.00 0.9800 3.94 0.980 1.0366e-03
ACC2 4096 4 5.00 0.9800 3.94 1.000 1.1952e-02
ACC2 4096 4 5.00 0.9800 8.14 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9800 8.14 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9800 8.14 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9800 8.14 0.980 5.6159e-04
ACC2 4096 4 5.00 0.9800 8.14 1.000 5.1791e-03
ACC2 4096 4 5.00 0.9800 16.12 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9800 16.12 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9800 16.12 0.960 6.3638e-05
ACC2 4096 4 5.00 0.9800 16.12 0.980 3.1819e-04
ACC2 4096 4 5.00 0.9800 16.12 1.000 2.3546e-03
ACC2 4096 4 5.00 0.9800 32.61 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9800 32.61 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9800 32.61 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9800 32.61 0.980 6.5147e-05
ACC2 4096 4 5.00 0.9800 32.61 1.000 1.1075e-03
ACC2 4096 4 5.00 0.9800 64.60 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9800 64.60 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9800 64.60 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9800 64.60 0.980 0.0000e+00
ACC2 4096 4 5.00 0.9800 64.60 1.000 1.3301e-04
ACC2 4096 4 5.00 0.9800 128.59 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9800 128.59 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9800 128.59 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9800 128.59 0.980 0.0000e+00
ACC2 4096 4 5.00 0.9800 128.59 1.000 0.0000e+00
ACC2 4096 4 5.00 0.9950 2.03 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9950 2.03 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9950 2.03 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9950 2.03 0.980 3.5241e-03
ACC2 4096 4 5.00 0.9950 2.03 1.000 4.7671e-02
ACC2 4096 4 5.00 0.9950 3.94 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9950 3.94 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9950 3.94 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9950 3.94 0.980 1.6264e-03
ACC2 4096 4 5.00 0.9950 3.94 1.000 3.6627e-02
ACC2 4096 4 5.00 0.9950 8.14 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9950 8.14 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9950 8.14 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9950 8.14 0.980 7.2559e-04
ACC2 4096 4 5.00 0.9950 8.14 1.000 2.8100e-02
ACC2 4096 4 5.00 0.9950 16.12 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9950 16.12 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9950 16.12 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9950 16.12 0.980 1.3335e-04
ACC2 4096 4 5.00 0.9950 16.12 1.000 1.3202e-02
ACC2 4096 4 5.00 0.9950 32.61 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9950 32.61 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9950 32.61 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9950 32.61 0.980 2.0228e-04
ACC2 4096 4 5.00 0.9950 32.61 1.000 3.8433e-03
ACC2 4096 4 5.00 0.9950 64.60 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9950 64.60 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9950 64.60 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9950 64.60 0.980 0.0000e+00
ACC2 4096 4 5.00 0.9950 64.60 1.000 0.0000e+00
ACC2 4096 4 5.00 0.9950 128.59 0.900 0.0000e+00
ACC2 4096 4 5.00 0.9950 128.59 0.930 0.0000e+00
ACC2 4096 4 5.00 0.9950 128.59 0.960 0.0000e+00
ACC2 4096 4 5.00 0.9950 128.59 0.980 0.0000e+00
ACC2 4096 4 5.00 0.9950 128.59 1.000 0.0000e+00
ACC2 4096 4 5.50 0.8000 2.03 0.900 0.0000e+00
ACC2 4096 4 5.50 0.8000 2.03 0.930 1.1699e-04
ACC2 4096 4 5.50 0.8000 2.03 0.960 1.1699e-04
ACC2 4096 4 5.50 0.8000 2.03 0.980 1.7549e-04
ACC2 4096 4 5.50 0.8000 2.03 1.000 3.5098e-04
ACC2 4096 4 5.50 0.8000 3.94 0.900 0.0000e+00
ACC2 4096 4 5.50 0.8000 3.94 0.930 0.0000e+00
ACC2 4096 4 5.50 0.8000 3.94 0.960 6.1459e-05
ACC2 4096 4 5.50 0.8000 3.94 0.980 1.2292e-04
ACC2 4096 4 5.50 0.8000 3.94 1.000 4.9167e-04
ACC2 4096 4 5.50 0.8000 8.14 0.900 0.0000e+00
ACC2 4096 4 5.50 0.8000 8.14 0.930 0.0000e+00
ACC2 4096 4 5.50 0.8000 8.14 0.960 6.4338e-05
ACC2 4096 4 5.50 0.8000 8.14 0.980 6.4338e-05
ACC2 4096 4 5.50 0.8000 8.14 1.000 3.2169e-04
ACC2 4096 4 5.50 0.8000 16.12 0.900 0.0000e+00
ACC2 4096 4 5.50 0.8000 16.12 0.930 6.6805e-05
ACC2 4096 4 5.50 0.8000 16.12 0.960 2.0041e-04
ACC2 4096 4 5.50 0.8000 16.12 0.980 2.0041e-04
ACC2 4096 4 5.50 0.8000 16.12 1.000 4.6763e-04
ACC2 4096 4 5.50 0.8000 32.61 0.900 0.0000e+00
ACC2 4096 4 5.50 0.8000 32.61 0.930 0.0000e+00
ACC2 4096 4 5.50 0.8000 32.61 0.960 6.9295e-05
ACC2 4096 4 5.50 0.8000 32.61 0.980 1.3859e-04
ACC2 4096 4 5.50 0.8000 32.61 1.000 5.5436e-04
ACC2 4096 4 5.50 0.8000 64.60 0.900 0.0000e+00
ACC2 4096 4 5.50 0.8000 64.60 0.930 0.0000e+00
ACC2 4096 4 5.50 0.8000 64.60 0.960 2.8547e-04
ACC2 4096 4 5.50 0.8000 64.60 0.980 3.5684e-04
ACC2 4096 4 5.50 0.8000 64.60 1.000 4.9957e-04
ACC2 4096 4 5.50 0.8000 128.59 0.900 0.0000e+00
ACC2 4096 4 5.50 0.8000 128.59 0.930 0.0000e+00
ACC2 4096 4 5.50 0.8000 128.59 0.960 7.3292e-05
ACC2 4096 4 5.50 0.8000 128.59 0.980 7.3292e-05
ACC2 4096 4 5.50 0.8000 128.59 1.000 1.4658e-04
ACC2 4096 4 5.50 0.9000 2.03 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9000 2.03 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9000 2.03 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9000 2.03 0.980 1.1449e-04
ACC2 4096 4 5.50 0.9000 2.03 1.000 5.7244e-04
ACC2 4096 4 5.50 0.9000 3.94 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9000 3.94 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9000 3.94 0.960 0.0000e+00
ACC2 4096 4 5.50 0.9000 3.94 0.980 1.7803e-04
ACC2 4096 4 5.50 0.9000 3.94 1.000 2.9672e-04
ACC2 4096 4 5.50 0.9000 8.14 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9000 8.14 0.930 6.1927e-05
ACC2 4096 4 5.50 0.9000 8.14 0.960 6.1927e-05
ACC2 4096 4 5.50 0.9000 8.14 0.980 3.0964e-04
ACC2 4096 4 5.50 0.9000 8.14 1.000 5.5734e-04
ACC2 4096 4 5.50 0.9000 16.12 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9000 16.12 0.930 0.0000e+00
ACC2 4096 4 5.50 0.9000 16.12 0.960 1.2772e-04
ACC2 4096 4 5.50 0.9000 16.12 0.980 2.5544e-04
ACC2 4096 4 5.50 0.9000 16.12 1.000 5.7475e-04
ACC2 4096 4 5.50 0.9000 32.61 0.900 0.0000e+00
ACC2 4096 4 5.50 0.9000 32.61 0.930 6.6392e-05
