# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 4096 5.00 0.5000 1.200 1e-03 3.2441
THR 4096 5.00 0.5000 1.500 1e-03 3.2500
THR 4096 5.00 0.5000 2.000 1e-03 3.2148
THR 4096 5.00 0.5000 3.000 1e-03 3.2383
THR 4096 5.00 0.5000 4.000 1e-03 3.1738
THR 4096 5.00 0.5000 6.000 1e-03 3.1035
THR 4096 5.00 0.5000 8.000 1e-03 3.0273
THR 4096 5.00 0.5000 16.000 1e-03 2.6934
THR 4096 5.00 0.6000 1.200 1e-03 3.2676
THR 4096 5.00 0.6000 1.500 1e-03 3.2734
THR 4096 5.00 0.6000 2.000 1e-03 3.2910
THR 4096 5.00 0.6000 3.000 1e-03 3.2734
THR 4096 5.00 0.6000 4.000 1e-03 3.2852
THR 4096 5.00 0.6000 6.000 1e-03 3.2441
THR 4096 5.00 0.6000 8.000 1e-03 3.2148
THR 4096 5.00 0.6000 16.000 1e-03 2.9512
THR 4096 5.00 0.7000 1.200 1e-03 3.3086
THR 4096 5.00 0.7000 1.500 1e-03 3.2969
THR 4096 5.00 0.7000 2.000 1e-03 3.3672
THR 4096 5.00 0.7000 3.000 1e-03 3.4434
THR 4096 5.00 0.7000 4.000 1e-03 3.4316
THR 4096 5.00 0.7000 6.000 1e-03 3.4023
THR 4096 5.00 0.7000 8.000 1e-03 3.3672
THR 4096 5.00 0.7000 16.000 1e-03 3.2324
THR 4096 5.00 0.8000 1.200 1e-03 3.3320
THR 4096 5.00 0.9000 1.200 1e-03 3.3730
THR 4096 5.00 0.9500 1.200 1e-03 3.4199
THR 4096 5.00 0.9800 1.200 1e-03 3.4668
THR 4096 5.00 0.9950 1.200 1e-03 3.4668
THR 4096 5.50 0.5000 1.200 1e-03 3.2721
THR 4096 5.50 0.5000 1.500 1e-03 3.2463
THR 4096 5.50 0.5000 2.000 1e-03 3.2785
THR 4096 5.50 0.5000 3.000 1e-03 3.2721
THR 4096 5.50 0.5000 4.000 1e-03 3.2656
THR 4096 5.50 0.5000 6.000 1e-03 3.2012
THR 4096 5.50 0.5000 8.000 1e-03 3.1754
THR 4096 5.50 0.5000 16.000 1e-03 2.9240
THR 4096 5.50 0.6000 1.200 1e-03 3.3043
THR 4096 5.50 0.6000 1.500 1e-03 3.2914
THR 4096 5.50 0.6000 2.000 1e-03 3.3688
THR 4096 5.50 0.6000 3.000 1e-03 3.4461
THR 4096 5.50 0.6000 4.000 1e-03 3.4268
THR 4096 5.50 0.6000 6.000 1e-03 3.3881
THR 4096 5.50 0.6000 8.000 1e-03 3.2656
THR 4096 5.50 0.6000 16.000 1e-03 3.2141
THR 4096 5.50 0.7000 1.200 1e-03 3.3301
THR 4096 5.50 0.7000 1.500 1e-03 3.3688
THR 4096 5.50 0.7000 2.000 1e-03 3.5363
THR 4096 5.50 0.7000 3.000 1e-03 3.5879
THR 4096 5.50 0.7000 4.000 1e-03 3.5750
THR 4096 5.50 0.7000 6.000 1e-03 3.5428
THR 4096 5.50 0.7000 8.000 1e-03 3.5879
THR 4096 5.50 0.7000 16.000 1e-03 3.4525
THR 4096 5.50 0.8000 1.200 1e-03 3.4332
THR 4096 5.50 0.9000 1.200 1e-03 3.5234
THR 4096 5.50 0.9500 1.200 1e-03 3.5299
THR 4096 5.50 0.9800 1.200 1e-03 3.5686
THR 4096 5.50 0.9950 1.200 1e-03 3.5750
THR 4096 6.00 0.5000 1.200 1e-03 3.2742
THR 4096 6.00 0.5000 1.500 1e-03 3.2953
THR 4096 6.00 0.5000 2.000 1e-03 3.2883
THR 4096 6.00 0.5000 3.000 1e-03 3.2953
THR 4096 6.00 0.5000 4.000 1e-03 3.3305
THR 4096 6.00 0.5000 6.000 1e-03 3.2672
THR 4096 6.00 0.5000 8.000 1e-03 3.2180
THR 4096 6.00 0.5000 16.000 1e-03 3.0000
THR 4096 6.00 0.6000 1.200 1e-03 3.3305
THR 4096 6.00 0.6000 1.500 1e-03 3.3656
THR 4096 6.00 0.6000 2.000 1e-03 3.4781
THR 4096 6.00 0.6000 3.000 1e-03 3.5836
THR 4096 6.00 0.6000 4.000 1e-03 3.5906
THR 4096 6.00 0.6000 6.000 1e-03 3.4359
THR 4096 6.00 0.6000 8.000 1e-03 3.4781
THR 4096 6.00 0.6000 16.000 1e-03 3.4078
THR 4096 6.00 0.7000 1.200 1e-03 3.3727
THR 4096 6.00 0.7000 1.500 1e-03 3.4711
THR 4096 6.00 0.7000 2.000 1e-03 3.6469
