# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 1024 5.00 0.5000 1.200 1e-03 2.8223
THR 1024 5.00 0.5000 1.500 1e-03 2.8867
THR 1024 5.00 0.5000 2.000 1e-03 2.8340
THR 1024 5.00 0.5000 3.000 1e-03 2.7988
THR 1024 5.00 0.5000 4.000 1e-03 2.7461
THR 1024 5.00 0.5000 6.000 1e-03 2.6934
THR 1024 5.00 0.5000 8.000 1e-03 2.6699
THR 1024 5.00 0.5000 16.000 1e-03 2.5000
THR 1024 5.00 0.6000 1.200 1e-03 2.9336
THR 1024 5.00 0.6000 1.500 1e-03 2.9160
THR 1024 5.00 0.6000 2.000 1e-03 2.8984
THR 1024 5.00 0.6000 3.000 1e-03 2.8398
THR 1024 5.00 0.6000 4.000 1e-03 2.8164
THR 1024 5.00 0.6000 6.000 1e-03 2.8457
THR 1024 5.00 0.6000 8.000 1e-03 2.8340
THR 1024 5.00 0.6000 16.000 1e-03 2.7109
THR 1024 5.00 0.7000 1.200 1e-03 2.9863
THR 1024 5.00 0.7000 1.500 1e-03 3.0098
THR 1024 5.00 0.7000 2.000 1e-03 2.9980
THR 1024 5.00 0.7000 3.000 1e-03 3.1270
THR 1024 5.00 0.7000 4.000 1e-03 3.0918
THR 1024 5.00 0.7000 6.000 1e-03 3.1270
THR 1024 5.00 0.7000 8.000 1e-03 3.1270
THR 1024 5.00 0.7000 16.000 1e-03 2.9570
THR 1024 5.00 0.8000 1.200 1e-03 3.0391
THR 1024 5.00 0.9000 1.200 1e-03 3.1797
THR 1024 5.00 0.9500 1.200 1e-03 3.2090
THR 1024 5.00 0.9800 1.200 1e-03 3.2441
THR 1024 5.00 0.9950 1.200 1e-03 3.2734
THR 1024 5.50 0.5000 1.200 1e-03 2.9240
THR 1024 5.50 0.5000 1.500 1e-03 2.9047
THR 1024 5.50 0.5000 2.000 1e-03 2.8854
THR 1024 5.50 0.5000 3.000 1e-03 2.8402
THR 1024 5.50 0.5000 4.000 1e-03 2.8338
THR 1024 5.50 0.5000 6.000 1e-03 2.7951
THR 1024 5.50 0.5000 8.000 1e-03 2.7629
THR 1024 5.50 0.5000 16.000 1e-03 2.7500
THR 1024 5.50 0.6000 1.200 1e-03 2.9562
THR 1024 5.50 0.6000 1.500 1e-03 2.9949
THR 1024 5.50 0.6000 2.000 1e-03 3.0207
THR 1024 5.50 0.6000 3.000 1e-03 3.0529
THR 1024 5.50 0.6000 4.000 1e-03 3.0336
THR 1024 5.50 0.6000 6.000 1e-03 3.1238
THR 1024 5.50 0.6000 8.000 1e-03 2.9498
THR 1024 5.50 0.6000 16.000 1e-03 3.0207
THR 1024 5.50 0.7000 1.200 1e-03 2.9885
THR 1024 5.50 0.7000 1.500 1e-03 3.1818
THR 1024 5.50 0.7000 2.000 1e-03 3.2270
THR 1024 5.50 0.7000 3.000 1e-03 3.3430
THR 1024 5.50 0.7000 4.000 1e-03 3.3236
THR 1024 5.50 0.7000 6.000 1e-03 3.4461
THR 1024 5.50 0.7000 8.000 1e-03 3.3430
THR 1024 5.50 0.7000 16.000 1e-03 3.2979
THR 1024 5.50 0.8000 1.200 1e-03 3.1818
THR 1024 5.50 0.9000 1.200 1e-03 3.4010
THR 1024 5.50 0.9500 1.200 1e-03 3.4268
THR 1024 5.50 0.9800 1.200 1e-03 3.5363
THR 1024 5.50 0.9950 1.200 1e-03 3.5621
THR 1024 6.00 0.5000 1.200 1e-03 3.0000
THR 1024 6.00 0.5000 1.500 1e-03 3.0000
THR 1024 6.00 0.5000 2.000 1e-03 3.0000
THR 1024 6.00 0.5000 3.000 1e-03 3.0070
THR 1024 6.00 0.5000 4.000 1e-03 3.0141
THR 1024 6.00 0.5000 6.000 1e-03 3.0141
THR 1024 6.00 0.5000 8.000 1e-03 3.0000
THR 1024 6.00 0.5000 16.000 1e-03 3.0000
THR 1024 6.00 0.6000 1.200 1e-03 3.0000
THR 1024 6.00 0.6000 1.500 1e-03 3.0703
THR 1024 6.00 0.6000 2.000 1e-03 3.1898
THR 1024 6.00 0.6000 3.000 1e-03 3.2672
THR 1024 6.00 0.6000 4.000 1e-03 3.2953
THR 1024 6.00 0.6000 6.000 1e-03 3.2461
THR 1024 6.00 0.6000 8.000 1e-03 3.2812
THR 1024 6.00 0.6000 16.000 1e-03 3.3023
THR 1024 6.00 0.7000 1.200 1e-03 3.2109
THR 1024 6.00 0.7000 1.500 1e-03 3.3234
THR 1024 6.00 0.7000 2.000 1e-03 3.3445
THR 1024 6.00 0.7000 3.000 1e-03 3.5766
THR 1024 6.00 0.7000 4.000 1e-03 3.7242
THR 1024 6.00 0.7000 6.000 1e-03 3.7875
THR 1024 6.00 0.7000 8.000 1e-03 3.7594
THR 1024 6.00 0.7000 16.000 1e-03 3.6750
THR 1024 6.00 0.8000 1.200 1e-03 3.4289
THR 1024 6.00 0.9000 1.200 1e-03 3.5555
THR 1024 6.00 0.9500 1.200 1e-03 3.6609
THR 1024 6.00 0.9800 1.200 1e-03 3.7172
THR 1024 6.00 0.9950 1.200 1e-03 3.8156
THR 1024 6.50 0.5000 1.200 1e-03 3.2500
THR 1024 6.50 0.5000 1.500 1e-03 3.2500
