# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 8192 5.00 0.5000 1.200 1e-03 3.2383
THR 8192 5.00 0.5000 1.500 1e-03 3.1973
THR 8192 5.00 0.5000 2.000 1e-03 3.2383
THR 8192 5.00 0.5000 3.000 1e-03 3.2090
THR 8192 5.00 0.5000 4.000 1e-03 3.2031
THR 8192 5.00 0.5000 6.000 1e-03 3.0859
THR 8192 5.00 0.5000 8.000 1e-03 3.0508
THR 8192 5.00 0.5000 16.000 1e-03 2.9219
THR 8192 5.00 0.6000 1.200 1e-03 3.2617
THR 8192 5.00 0.6000 1.500 1e-03 3.2266
THR 8192 5.00 0.6000 2.000 1e-03 3.2383
THR 8192 5.00 0.6000 3.000 1e-03 3.2676
THR 8192 5.00 0.6000 4.000 1e-03 3.2383
THR 8192 5.00 0.6000 6.000 1e-03 3.2266
THR 8192 5.00 0.6000 8.000 1e-03 3.1797
THR 8192 5.00 0.6000 16.000 1e-03 3.0508
THR 8192 5.00 0.7000 1.200 1e-03 3.2617
THR 8192 5.00 0.7000 1.500 1e-03 3.2441
THR 8192 5.00 0.7000 2.000 1e-03 3.2969
THR 8192 5.00 0.7000 3.000 1e-03 3.3086
THR 8192 5.00 0.7000 4.000 1e-03 3.3730
THR 8192 5.00 0.7000 6.000 1e-03 3.3906
THR 8192 5.00 0.7000 8.000 1e-03 3.3203
THR 8192 5.00 0.7000 16.000 1e-03 3.2500
THR 8192 5.00 0.8000 1.200 1e-03 3.3203
THR 8192 5.00 0.9000 1.200 1e-03 3.3730
THR 8192 5.00 0.9500 1.200 1e-03 3.4551
THR 8192 5.00 0.9800 1.200 1e-03 3.5078
THR 8192 5.00 0.9950 1.200 1e-03 3.5547
THR 8192 5.50 0.5000 1.200 1e-03 3.2592
THR 8192 5.50 0.5000 1.500 1e-03 3.2334
THR 8192 5.50 0.5000 2.000 1e-03 3.2334
THR 8192 5.50 0.5000 3.000 1e-03 3.2656
THR 8192 5.50 0.5000 4.000 1e-03 3.2398
THR 8192 5.50 0.5000 6.000 1e-03 3.2270
THR 8192 5.50 0.5000 8.000 1e-03 3.1625
THR 8192 5.50 0.5000 16.000 1e-03 2.9885
THR 8192 5.50 0.6000 1.200 1e-03 3.2592
THR 8192 5.50 0.6000 1.500 1e-03 3.2398
THR 8192 5.50 0.6000 2.000 1e-03 3.3043
THR 8192 5.50 0.6000 3.000 1e-03 3.3494
THR 8192 5.50 0.6000 4.000 1e-03 3.3559
THR 8192 5.50 0.6000 6.000 1e-03 3.3752
THR 8192 5.50 0.6000 8.000 1e-03 3.3301
THR 8192 5.50 0.6000 16.000 1e-03 3.1367
THR 8192 5.50 0.7000 1.200 1e-03 3.3236
THR 8192 5.50 0.7000 1.500 1e-03 3.3945
THR 8192 5.50 0.7000 2.000 1e-03 3.3816
THR 8192 5.50 0.7000 3.000 1e-03 3.4848
THR 8192 5.50 0.7000 4.000 1e-03 3.5105
THR 8192 5.50 0.7000 6.000 1e-03 3.5814
THR 8192 5.50 0.7000 8.000 1e-03 3.6523
THR 8192 5.50 0.7000 16.000 1e-03 3.5234
THR 8192 5.50 0.8000 1.200 1e-03 3.4139
THR 8192 5.50 0.9000 1.200 1e-03 3.5170
THR 8192 5.50 0.9500 1.200 1e-03 3.6588
THR 8192 5.50 0.9800 1.200 1e-03 3.6588
THR 8192 5.50 0.9950 1.200 1e-03 3.7039
THR 8192 6.00 0.5000 1.200 1e-03 3.2602
THR 8192 6.00 0.5000 1.500 1e-03 3.2391
THR 8192 6.00 0.5000 2.000 1e-03 3.2953
THR 8192 6.00 0.5000 3.000 1e-03 3.3445
THR 8192 6.00 0.5000 4.000 1e-03 3.3516
THR 8192 6.00 0.5000 6.000 1e-03 3.3445
THR 8192 6.00 0.5000 8.000 1e-03 3.3023
THR 8192 6.00 0.5000 16.000 1e-03 3.1195
THR 8192 6.00 0.6000 1.200 1e-03 3.3234
THR 8192 6.00 0.6000 1.500 1e-03 3.3375
THR 8192 6.00 0.6000 2.000 1e-03 3.3797
THR 8192 6.00 0.6000 3.000 1e-03 3.5203
THR 8192 6.00 0.6000 4.000 1e-03 3.5203
