# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 16384 5.00 0.5000 1.200 1e-03 3.2148
THR 16384 5.00 0.5000 1.500 1e-03 3.2207
THR 16384 5.00 0.5000 2.000 1e-03 3.1855
THR 16384 5.00 0.5000 3.000 1e-03 3.1973
THR 16384 5.00 0.5000 4.000 1e-03 3.1914
THR 16384 5.00 0.5000 6.000 1e-03 3.0859
THR 16384 5.00 0.5000 8.000 1e-03 3.0156
THR 16384 5.00 0.5000 16.000 1e-03 2.8926
THR 16384 5.00 0.6000 1.200 1e-03 3.2324
THR 16384 5.00 0.6000 1.500 1e-03 3.2441
THR 16384 5.00 0.6000 2.000 1e-03 3.2734
THR 16384 5.00 0.6000 3.000 1e-03 3.2852
THR 16384 5.00 0.6000 4.000 1e-03 3.2793
THR 16384 5.00 0.6000 6.000 1e-03 3.1738
THR 16384 5.00 0.6000 8.000 1e-03 3.1211
THR 16384 5.00 0.6000 16.000 1e-03 3.0508
THR 16384 5.00 0.7000 1.200 1e-03 3.2910
THR 16384 5.00 0.7000 1.500 1e-03 3.3320
THR 16384 5.00 0.7000 2.000 1e-03 3.3438
THR 16384 5.00 0.7000 3.000 1e-03 3.4258
THR 16384 5.00 0.7000 4.000 1e-03 3.3672
THR 16384 5.00 0.7000 6.000 1e-03 3.3906
THR 16384 5.00 0.7000 8.000 1e-03 3.3379
THR 16384 5.00 0.7000 16.000 1e-03 3.2266
THR 16384 5.00 0.8000 1.200 1e-03 3.3613
THR 16384 5.00 0.9000 1.200 1e-03 3.4141
THR 16384 5.00 0.9500 1.200 1e-03 3.4141
THR 16384 5.00 0.9800 1.200 1e-03 3.4551
THR 16384 5.00 0.9950 1.200 1e-03 3.4785
THR 16384 5.50 0.5000 1.200 1e-03 3.2141
THR 16384 5.50 0.5000 1.500 1e-03 3.2398
THR 16384 5.50 0.5000 2.000 1e-03 3.2592
THR 16384 5.50 0.5000 3.000 1e-03 3.2979
THR 16384 5.50 0.5000 4.000 1e-03 3.2592
THR 16384 5.50 0.5000 6.000 1e-03 3.1883
THR 16384 5.50 0.5000 8.000 1e-03 3.0787
THR 16384 5.50 0.5000 16.000 1e-03 3.0078
THR 16384 5.50 0.6000 1.200 1e-03 3.3043
THR 16384 5.50 0.6000 1.500 1e-03 3.3107
THR 16384 5.50 0.6000 2.000 1e-03 3.2979
THR 16384 5.50 0.6000 3.000 1e-03 3.3945
THR 16384 5.50 0.6000 4.000 1e-03 3.3816
THR 16384 5.50 0.6000 6.000 1e-03 3.2914
THR 16384 5.50 0.6000 8.000 1e-03 3.2270
THR 16384 5.50 0.6000 16.000 1e-03 3.1561
THR 16384 5.50 0.7000 1.200 1e-03 3.3945
THR 16384 5.50 0.7000 1.500 1e-03 3.3623
THR 16384 5.50 0.7000 2.000 1e-03 3.3494
THR 16384 5.50 0.7000 3.000 1e-03 3.5234
