# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 32768 5.50 0.6000 4.000 1e-03 3.3365
THR 32768 5.50 0.6000 6.000 1e-03 3.3494
THR 32768 5.50 0.6000 8.000 1e-03 3.3301
THR 32768 5.50 0.6000 16.000 1e-03 3.1883
THR 32768 5.50 0.7000 1.200 1e-03 3.3752
THR 32768 5.50 0.7000 1.500 1e-03 3.3945
THR 32768 5.50 0.7000 2.000 1e-03 3.4332
THR 32768 5.50 0.7000 3.000 1e-03 3.4912
THR 32768 5.50 0.7000 4.000 1e-03 3.5105
THR 32768 5.50 0.7000 6.000 1e-03 3.5557
THR 32768 5.50 0.7000 8.000 1e-03 3.6395
THR 32768 5.50 0.7000 16.000 1e-03 3.4912
THR 32768 5.50 0.8000 1.200 1e-03 3.4912
THR 32768 5.50 0.8000 1.500 1e-03 3.4461
THR 32768 5.50 0.8000 2.000 1e-03 3.5234
THR 32768 5.50 0.8000 3.000 1e-03 3.8457
THR 32768 5.50 0.8000 4.000 1e-03 3.8006
THR 32768 5.50 0.8000 6.000 1e-03 3.9166
THR 32768 5.50 0.8000 8.000 1e-03 3.8779
THR 32768 5.50 0.8000 16.000 1e-03 3.9811
THR 32768 5.50 0.9000 1.200 1e-03 3.5814
THR 32768 5.50 0.9000 1.500 1e-03 3.6588
THR 32768 5.50 0.9000 2.000 1e-03 3.7684
THR 32768 5.50 0.9000 3.000 1e-03 4.1938
THR 32768 5.50 0.9000 4.000 1e-03 4.3484
THR 32768 5.50 0.9000 6.000 1e-03 4.5289
THR 32768 5.50 0.9000 8.000 1e-03 4.5482
THR 32768 5.50 0.9000 16.000 1e-03 4.5160
THR 32768 5.50 0.9500 1.200 1e-03 3.6395
THR 32768 5.50 0.9500 1.500 1e-03 3.7748
THR 32768 5.50 0.9500 2.000 1e-03 4.0648
THR 32768 5.50 0.9500 3.000 1e-03 4.4645
THR 32768 5.50 0.9500 4.000 1e-03 4.6385
THR 32768 5.50 0.9500 6.000 1e-03 4.8125
THR 32768 5.50 0.9500 8.000 1e-03 4.7803
THR 32768 5.50 0.9500 16.000 1e-03 4.9414
THR 32768 5.50 0.9800 1.200 1e-03 3.6717
THR 32768 5.50 0.9800 1.500 1e-03 3.8457
THR 32768 5.50 0.9800 2.000 1e-03 4.1293
THR 32768 5.50 0.9800 3.000 1e-03 4.5482
THR 32768 5.50 0.9800 4.000 1e-03 4.8061
THR 32768 5.50 0.9800 6.000 1e-03 5.1090
THR 32768 5.50 0.9800 8.000 1e-03 5.1477
THR 32768 5.50 0.9800 16.000 1e-03 5.1283
THR 32768 5.50 0.9950 1.200 1e-03 3.6975
THR 32768 5.50 0.9950 1.500 1e-03 3.8779
THR 32768 5.50 0.9950 2.000 1e-03 4.1680
THR 32768 5.50 0.9950 3.000 1e-03 4.6836
THR 32768 5.50 0.9950 4.000 1e-03 4.9350
THR 32768 5.50 0.9950 6.000 1e-03 5.2250
THR 32768 5.50 0.9950 8.000 1e-03 5.2830
THR 32768 5.50 0.9950 16.000 1e-03 5.3410
THR 32768 6.00 0.3000 1.200 1e-03 3.2250
THR 32768 6.00 0.3000 1.500 1e-03 3.2109
THR 32768 6.00 0.3000 2.000 1e-03 3.2250
THR 32768 6.00 0.3000 3.000 1e-03 3.1898
THR 32768 6.00 0.3000 4.000 1e-03 3.1336
THR 32768 6.00 0.3000 6.000 1e-03 3.1055
THR 32768 6.00 0.3000 8.000 1e-03 3.0211
THR 32768 6.00 0.3000 16.000 1e-03 3.0000
THR 32768 6.00 0.4000 1.200 1e-03 3.2320
THR 32768 6.00 0.4000 1.500 1e-03 3.2250
THR 32768 6.00 0.4000 2.000 1e-03 3.2602
THR 32768 6.00 0.4000 3.000 1e-03 3.1898
THR 32768 6.00 0.4000 4.000 1e-03 3.2109
THR 32768 6.00 0.4000 6.000 1e-03 3.1828
THR 32768 6.00 0.4000 8.000 1e-03 3.0562
THR 32768 6.00 0.4000 16.000 1e-03 3.0000
THR 32768 6.00 0.5000 1.200 1e-03 3.2602
THR 32768 6.00 0.5000 1.500 1e-03 3.2391
THR 32768 6.00 0.5000 2.000 1e-03 3.3023
THR 32768 6.00 0.5000 3.000 1e-03 3.2461
THR 32768 6.00 0.5000 4.000 1e-03 3.2953
THR 32768 6.00 0.5000 6.000 1e-03 3.3234
THR 32768 6.00 0.5000 8.000 1e-03 3.2250
THR 32768 6.00 0.5000 16.000 1e-03 3.1688
THR 32768 6.00 0.6000 1.200 1e-03 3.3586
THR 32768 6.00 0.6000 1.500 1e-03 3.3727
THR 32768 6.00 0.6000 2.000 1e-03 3.3164
THR 32768 6.00 0.6000 3.000 1e-03 3.4570
THR 32768 6.00 0.6000 4.000 1e-03 3.4430
THR 32768 6.00 0.6000 6.000 1e-03 3.4008
THR 32768 6.00 0.6000 8.000 1e-03 3.4922
THR 32768 6.00 0.6000 16.000 1e-03 3.3445
THR 32768 6.00 0.7000 1.200 1e-03 3.4641
THR 32768 6.00 0.7000 1.500 1e-03 3.4641
THR 32768 6.00 0.7000 2.000 1e-03 3.4992
THR 32768 6.00 0.7000 3.000 1e-03 3.5977
THR 32768 6.00 0.7000 4.000 1e-03 3.7172
THR 32768 6.00 0.7000 6.000 1e-03 3.8156
THR 32768 6.00 0.7000 8.000 1e-03 3.8508
THR 32768 6.00 0.7000 16.000 1e-03 3.8086
THR 32768 6.00 0.8000 1.200 1e-03 3.5766
THR 32768 6.00 0.8000 1.500 1e-03 3.6609
THR 32768 6.00 0.8000 2.000 1e-03 3.6820
THR 32768 6.00 0.8000 3.000 1e-03 4.1461
THR 32768 6.00 0.8000 4.000 1e-03 4.2023
THR 32768 6.00 0.8000 6.000 1e-03 4.2586
THR 32768 6.00 0.8000 8.000 1e-03 4.2094
THR 32768 6.00 0.8000 16.000 1e-03 4.4062
THR 32768 6.00 0.9000 1.200 1e-03 3.7875
THR 32768 6.00 0.9000 1.500 1e-03 3.7523
THR 32768 6.00 0.9000 2.000 1e-03 4.0969
THR 32768 6.00 0.9000 3.000 1e-03 4.5820
THR 32768 6.00 0.9000 4.000 1e-03 4.8281
THR 32768 6.00 0.9000 6.000 1e-03 4.9969
THR 32768 6.00 0.9000 8.000 1e-03 5.0320
THR 32768 6.00 0.9000 16.000 1e-03 4.9828
THR 32768 6.00 0.9500 1.200 1e-03 3.8086
THR 32768 6.00 0.9500 1.500 1e-03 4.0055
THR 32768 6.00 0.9500 2.000 1e-03 4.3430
THR 32768 6.00 0.9500 3.000 1e-03 4.8984
THR 32768 6.00 0.9500 4.000 1e-03 5.1375
THR 32768 6.00 0.9500 6.000 1e-03 5.2852
THR 32768 6.00 0.9500 8.000 1e-03 5.2500
THR 32768 6.00 0.9500 16.000 1e-03 5.4117
