N,B,mkl,sysfftw,amdfftw,peakfft,peakfft_thr,relerr,idxbad
1024,16,7.7210625e-07,3.8991875e-07,2.68346957e-07,1.20989689e-06,8.37790594e-07,8.766e-08,0
1024,32,7.88228135e-07,4.021922e-07,2.7291876e-07,1.22590936e-06,8.69053156e-07,2.125e-07,0
1024,64,7.96275003e-07,4.24397649e-07,3.01322666e-07,1.23565469e-06,8.52254698e-07,1.879e-07,0
1024,128,8.36436334e-07,4.68676171e-07,3.54524605e-07,1.31836407e-06,8.71228508e-07,1.597e-07,0
4096,16,3.91569065e-06,2.16812814e-06,1.50006563e-06,9.07856565e-06,8.68739371e-06,2.056e-07,0
4096,32,3.99662345e-06,2.39530782e-06,1.69755936e-06,9.24359374e-06,8.77131565e-06,9.569e-08,0
4096,64,4.00426329e-06,2.30253127e-06,1.68521642e-06,9.30124768e-06,8.77363282e-06,2.036e-07,0
4096,128,4.05764414e-06,2.5226668e-06,1.80394727e-06,9.70928672e-06,8.72554649e-06,1.846e-07,0
16384,16,2.17688437e-05,1.16428125e-05,8.54619066e-06,1.68477969e-05,1.63080032e-05,2.693e-07,0
16384,32,2.18055219e-05,1.24104875e-05,9.33048905e-06,1.70445266e-05,1.63422547e-05,2.393e-07,0
16384,64,2.23919805e-05,1.34956883e-05,1.10803047e-05,1.75860813e-05,1.64587391e-05,2.633e-07,0
16384,128,2.98264492e-05,2.18989395e-05,1.5704623e-05,2.01504043e-05,1.66331211e-05,2.523e-07,0
65536,16,0.000104104228,6.55591281e-05,4.30194626e-05,7.81459313e-05,7.54543813e-05,2.374e-07,0
65536,32,0.000167538789,9.15860549e-05,7.77253592e-05,8.98847422e-05,7.90897186e-05,2.746e-07,0
65536,64,0.00022852141,0.000103335125,8.00852579e-05,0.000105552375,0.000103177566,2.367e-07,0
65536,128,0.000230258676,0.000180249025,0.000111076783,0.000108598168,0.000107819635,2.925e-07,0
262144,16,0.00112703048,0.000519404985,0.000422737516,0.000674152672,0.000657148578,3.071e-07,0
262144,32,0.00112542654,0.00061870332,0.000513932297,0.000670246742,0.000673216929,4.166e-07,0
262144,64,0.0011244148,0.000623564,0.000524518328,0.000674540438,0.00065958925,1.185e-07,0
262144,128,0.00113313131,0.000615175687,0.000509244984,0.000677626141,0.000676562344,2.767e-07,0
1048576,16,0.00377139719,0.00605783144,0.00460908762,0.00338622456,0.00328971975,2.137e-07,0
1048576,32,0.00374529603,0.00615384872,0.00452659409,0.00333801219,0.00326272375,2.194e-07,0
1048576,64,0.00378626806,0.0060713535,0.00451767753,0.00324862244,0.00322704305,1.944e-07,0
1048576,128,0.00371747454,0.00619363386,0.00448964321,0.00312301961,0.00310897654,2.062e-07,0
