N,mkl,sysfftw,amdfftw,peakfft
1024,1.56077498e-06,5.7537487e-07,3.73349903e-07,1.93517495e-06
4096,8.25146039e-06,3.13567987e-06,2.0406401e-06,4.64829965e-06
8192,3.39057395e-05,1.05155003e-05,8.75781989e-06,1.21650001e-05
16384,0.00010452908,2.99515203e-05,1.96953199e-05,2.30075e-05
32768,0.00023454632,7.55846599e-05,3.66923597e-05,5.72034001e-05
65536,0.000613417599,0.000373944803,0.000287999603,0.000361739803
131072,0.0016236506,0.0017997788,0.0013835146,0.0010616274
262144,0.0080185662,0.0051478368,0.004619274,0.0049279826
524288,0.014014853,0.014459125,0.009258409,0.011955193
1048576,0.032923205,0.037013721,0.01992078,0.024676091
