N,mkl,sysfftw,amdfftw,peakfft
1024,1.58206007e-06,6.17104961e-07,4.36619885e-07,8.94879922e-07
4096,7.39685958e-06,3.01044027e-06,1.99634e-06,3.51280032e-06
8192,3.40800598e-05,1.10453001e-05,9.00248007e-06,9.01167979e-06
16384,9.89179802e-05,2.78511998e-05,1.91891601e-05,1.78719003e-05
32768,0.00022298144,6.69975602e-05,3.82771203e-05,4.09395201e-05
65536,0.000597451598,0.000385211798,0.000271562795,0.000255306397
131072,0.000999623199,0.0017557842,0.0010501398,0.000678154797
262144,0.007878624,0.0048316042,0.0047838306,0.0035309588
524288,0.016002617,0.014256035,0.009236288,0.00835495599
1048576,0.034378533,0.037056451,0.019664019,0.018048732
