N,mkl,sysfftw,amdfftw,peakfft
1024,7.89580081e-07,3.78205004e-07,2.52924947e-07,4.58909926e-07
4096,3.8923003e-06,1.99834001e-06,1.44210004e-06,2.73674028e-06
8192,8.93114018e-06,4.57555987e-06,3.46168003e-06,5.15065971e-06
16384,2.07066e-05,1.06171001e-05,8.40254012e-06,1.02029199e-05
32768,0.000114951,6.87951199e-05,4.29885596e-05,3.47184599e-05
65536,0.000592241803,0.000400258199,0.000305724802,0.000276586204
131072,0.0017010176,0.0020165208,0.001547001,0.000758645596
262144,0.0080392088,0.004936134,0.0046829336,0.003549281
524288,0.016733347,0.015168375,0.00995823101,0.008873969
1048576,0.034586573,0.038828402,0.020920544,0.018077426
